pitch,start,end,tonalTechnique,articulation,stringId,position,finger
64,0.045455,0.122727,,spiccato,1,1,1
68,0.175,0.231818,,spiccato,1,1,3
71,0.279545,0.336364,,spiccato,2,1,1
76,0.388636,0.429545,,spiccato,2,1,4
76,0.481818,0.545455,,spiccato,3,1,0
71,0.597727,0.65,,spiccato,2,1,1
68,0.697727,0.747727,,spiccato,1,1,3
64,0.795455,0.840909,,spiccato,1,1,1
63,0.888636,0.956818,,spiccato,1,1,1
66,1.009091,1.05,,spiccato,1,1,2
71,1.102273,1.154545,,spiccato,2,1,1
78,1.206818,1.254545,,spiccato,3,1,1
78,1.306818,1.370455,,spiccato,3,1,1
71,1.415909,1.475,,spiccato,2,1,1
66,1.520455,1.572727,,spiccato,1,1,2
63,1.620455,1.665909,,spiccato,1,1,1
64,1.718182,1.763636,,spiccato,1,1,1
68,1.815909,1.868182,,spiccato,1,1,3
71,1.920455,1.968182,,spiccato,2,1,1
76,2.020455,2.065909,,spiccato,2,1,4
76,2.113636,2.170455,,spiccato,3,1,0
71,2.218182,2.263636,,spiccato,2,1,1
68,2.315909,2.368182,,spiccato,1,1,3
64,2.415909,2.461364,,spiccato,1,1,1
59,2.513636,2.577273,,spiccato,0,1,2
66,2.629545,2.675,,spiccato,1,1,2
75,2.722727,2.763636,,spiccato,2,1,3
83,2.797727,2.838636,,spiccato,3,1,4
83,2.884091,2.95,,spiccato,3,3,2
75,3.018182,3.065909,,spiccato,2,1,3
66,3.111364,3.156818,,spiccato,1,1,2
59,3.209091,3.25,,spiccato,0,1,2
64,3.302273,3.361364,,spiccato,1,1,1
68,3.406818,3.465909,,spiccato,1,1,3
71,3.511364,3.563636,,spiccato,2,1,1
76,3.611364,3.656818,,spiccato,3,1,0
76,3.704545,3.75,,spiccato,3,1,0
71,3.802273,3.854545,,spiccato,2,1,1
68,3.906818,3.965909,,spiccato,1,1,3
64,4.018182,4.063636,,spiccato,1,1,1
63,4.109091,4.161364,,spiccato,1,1,1
66,4.209091,4.254545,,spiccato,1,1,2
71,4.302273,4.347727,,spiccato,2,1,1
78,4.395455,4.440909,,spiccato,3,1,1
78,4.493182,4.556818,,spiccato,3,1,1
71,4.609091,4.661364,,spiccato,2,1,1
66,4.706818,4.754545,,spiccato,1,1,2
63,4.8,4.847727,,spiccato,1,1,1
64,4.893182,4.945455,,spiccato,1,1,1
68,4.997727,5.038636,,spiccato,1,1,3
71,5.084091,5.131818,,spiccato,2,1,1
76,5.184091,5.229545,,spiccato,3,1,0
76,5.281818,5.352273,,spiccato,3,1,0
71,5.397727,5.45,,spiccato,2,1,1
68,5.497727,5.554545,,spiccato,1,1,3
64,5.602273,5.647727,,spiccato,1,1,1
59,5.7,5.759091,,spiccato,0,1,2
66,5.811364,5.852273,,spiccato,1,1,2
75,5.904545,5.943182,,spiccato,2,1,3
83,5.990909,6.036364,,spiccato,3,3,2
83,6.084091,6.140909,,spiccato,3,3,2
75,6.193182,6.252273,,spiccato,2,1,3
66,6.297727,6.345455,,spiccato,1,1,2
59,6.390909,6.431818,,spiccato,0,1,2
56,6.484091,6.547727,,spiccato,0,1,1
64,6.6,6.652273,,spiccato,1,1,1
71,6.7,6.752273,,spiccato,2,1,1
80,6.797727,6.843182,,spiccato,3,1,2
80,6.890909,6.943182,,spiccato,3,1,2
71,6.995455,7.052273,,spiccato,2,1,1
64,7.1,7.140909,,spiccato,1,1,1
56,7.186364,7.209091,,spiccato,0,1,1
57,7.261364,7.313636,,spiccato,0,1,1
64,7.361364,7.402273,,spiccato,1,1,1
73,7.440909,7.488636,,spiccato,2,1,2
81,7.518182,7.563636,,spiccato,3,1,3
85,7.611364,7.761364,,staccato,3,3,3
88,7.859091,8.120455,,staccato,3,4,4
58,8.261364,8.329545,,spiccato,0,1,2
66,8.381818,8.429545,,spiccato,1,1,2
73,8.475,8.522727,,spiccato,2,1,2
